dataset/Cou001_The same as you..wav|同じで
dataset/Lda092_This is fun..wav|楽しみだな
dataset/Lda092_Then I could have Misato-chan come to my house and she can teach me all sorts of things..wav|そうしたらみさとちゃんに家に来てもらって、いろいろ教えてもらおう
dataset/Lda094_He was kind of good looking..wav|結構かっこよかったのに
dataset/Lda068_I’m nowhere as good as her in music, and she said that she didn’t want to be in music class with me anyway..wav|音楽はみさとちゃんとレベルが違うし、みさとちゃんも部活までは音楽はやりたくないって言ってたし。
dataset/Lda094_I guess the boy was rejected..wav|告白した人、かわいそうに振られちゃったんだね
dataset/Lda094_If it was me, I think I would have been a little happy..wav|私だったらちょっと嬉しくなっちゃうかな
dataset/Lda094_At school today, a boy asked to talk to Misato-chan..wav|今日、学校でミサトちゃんが男の子に呼ばれていたから
dataset/Lda093_My room doesn’t look very "girlish." But that doesn't really seem to fit me. I understand..wav|私の部屋って、なんか女の子っぽさが少ないな。 でも私には似合わないよね。 私、わかってるんだ。
dataset/Lda091_I could buy Mom and Dad presents, and I could do all sorts of things with Misato-chan..wav|お父さんにもお母さんにもプレゼントしたり みさとちゃんといろんなことして遊べるな
dataset/Lda094_She looked really bothered..wav|すごく迷惑そうな顔してた
dataset/Lda094_That’s sad, too..wav|それも寂しいな
dataset/Lda094_Maybe she already has a boyfriend that I don’t know anything about..wav|ひょっとして私が知らないだけでもう誰かいたりして
dataset/Lda094_Misato-chan is good-looking and smart..wav|みさとちゃんて綺麗だし頭もいいし
dataset/Lda094_Misato-chan didn't seem interested at all..wav|ミサトちゃんは全然興味なさそう
dataset/Lda094_She could get a boy..wav|モテるけど…
dataset/Lda094_Too bad..wav|かわいそう
dataset/Lda094_Maybe she doesn’t want one..wav|男の子嫌いなのかな
dataset/Lda094_When she asked why, he said that he wanted to go out with her..wav|なんだったのって聞いたら付き合ってほしいって告白されたんだって
dataset/Lda095_It’s impossible to know everything, isn’t it?.wav|全部知るなんて無理だよね
dataset/Lda095_But if I was the person I used to be, I might have been that way, too..wav|でも昔の私だったら私もそうしてたかも
dataset/Lda096_I’m jealous..wav|うらやましい
dataset/Lda095_I’m not Misato-chan..wav|私はミサトちゃんじゃないし
dataset/Lda096_My chest is flat..wav|私の胸はぺったんこ
dataset/Lda096_She laughed..wav|笑われた
dataset/Lda096_All the others are really becoming girls..wav|みんなはもう女の子になってるのに
dataset/Lda096_I asked Misato-chan if she was going out with someone..wav|みさとちゃんに誰か付き合ってる人いるのって聞いたら笑った
dataset/Lda097_The body doesn't matter much..wav|体なんてどうでもいいよね
dataset/Lda097_If my heart is perturbed, no one will like me..wav|誰も私を好きになってくれないもの
dataset/Lda097_What matters is the heart..wav|大事なのは心だよね。心が病んでたら…
dataset/Lda098_I wonder what Misato-chan is thinking..wav|みさとちゃんなんて思ったかな
dataset/Lda096_I think I’m moving slower than everybody else..wav|私って遅れてるのかな?
dataset/Lda098_I went to see Touko-san today..wav|今日はトウコさんのとこに行ってきた
dataset/Lda096_When I was changing clothes for gym class, I noticed that Misato-chan had big breasts..wav|体育の着替えの時、みさとちゃんの胸を見たら大きかったな。
dataset/Lda098_I don’t want to keep any secrets from her, but I’m afraid to tell her the truth..wav|ミサトちゃんに秘密を作りたくないけど でも正直に話すのも怖い
dataset/Lda096_But I don’t have ‘that’ yet either..wav|そういえば私はまだあれもないし
dataset/Lda099_You're busy with your own work, aren't you, Touko-san?.wav|トウコさんはトウコさんでお仕事なんだもんね
dataset/Lda098_When I asked her how much longer we should meet each other, she looked troubled..wav|いつまで続ければいいのかって聞いたら 東子さんは困った顔をしていた
dataset/Lda100_Maybe she doesn’t like the violin..wav|ヴァイオリンの音が嫌いなの?
dataset/Lda098_She said that I could come over with the idea of enjoying myself instead of thinking of our meetings as therapy, but I didn’t want to have to explain myself to Misato-chan..wav|治療だなんて思わないで遊びに来るつもりで来てくれればいい なんて言われても 今日だって美里ちゃんに言い訳するの嫌だったもの
dataset/Lda100_I guess Misato-chan makes expressions like that, too..wav|みさとちゃんもあんな顔するんだ
dataset/Lda100_She plays beautifully..wav|すっごく綺麗な曲で
dataset/Lda100_She can really play..wav|本当に上手なんだな
dataset/Lda096_Well, after all, we’re together all the time..wav|そうだよね。私たちいつも一緒なんだから。
dataset/Lda100_Listening to her play is like drifting off into a dream..wav|まるで夢の中みたい
dataset/Lda100_She said it was to repay me for the gift I gave her..wav|お土産のお礼だって
dataset/Lda100_It seems like there is more of the Misato-chan that only I know..wav|私だけが知っているみさとちゃんが増えたようで嬉しい
dataset/Lda100_That was a bit unlike her, and it was cute..wav|みさとちゃんらしくなくて可愛かった
dataset/Lda101_It looks very expensive..wav|なんだかものすごく高そう
dataset/Lda101_I feel important all of a sudden, and happy..wav|なんか自分がすごくなった気がして嬉しい
dataset/Lda100_When I played the CD for Mom, she didn't seem too interested..wav|お母さんに聞かせたら、あんまり受けなかったなぁ。
dataset/Lda101_It’s different from the computers we’ve had before, but the man said that the applications are similar, so there shouldn’t be many problems..wav|今まで使っていた機械と種類が違うらしいんだけど、アプリケーションの操作は共通だから、あんまり問題ないって言ってた。
dataset/Lda101_I’ve been studying hard and want to make myself useful..wav|せっかく勉強したんだから役に立てたいけど
dataset/Lda101_Thank you, Dad..wav|ありがとう、父さん。
dataset/Lda100_She blushed a little when she gave me her CD..wav|渡してくれる時にちょっと照れていたのが
dataset/Lda102_But only a girl like me could come from my kind of Mom..wav|私のお母さんからは私しか生まれないよね
dataset/Lda102_Dad, Mom, Misato-chan and I had dinner together..wav|お父さんと一緒に、4人で夕ご飯。
dataset/Lda102_But I really had fun today..wav|でも、今日は本当に楽しかった
dataset/Lda102_I didn’t learn that much about drawing, but Misato-chan said that she will visit again soon..wav|あんまり襲われなかったけど、また家に来てくれるって言ってたし。
dataset/Lda102_It was almost dreamlike..wav|まるで夢みたいなオチ
dataset/Lda102_I’m sorry, Mom..wav|お母さんごめんなさい
dataset/Lda101_When I grow up, I wonder if I will find work related to managing information or something..wav|大きくなったら情報処理の関係の仕事とかやるのかな?
dataset/Lda102_Misato-chan came to visit my house today..wav|みさとちゃんが家に来てくれた
dataset/Lda101_We got a new PC today..wav|新しいパソコンが家に来た
dataset/Lda101_It’s small and round, but it’s very fast..wav|ちっちゃくって丸っこいんだけど、すごく速いらしい。
dataset/Lda102_Misato-chan’s mom came to the door and spoke with Dad a bit..wav|本のところまで、みさとちゃんのお母さんが来て、お父さんと挨拶してたけど、
dataset/Lda102_It was great..wav|楽しかった
dataset/Lda102_Mom came and checked in on us often..wav|何かと覗きに来てた
dataset/Lda102_Misato-chan taught me how to draw..wav|私が絵の描き方を教わろうと部屋に美里ちゃんを呼んでからも
dataset/Lda102_I guess that a pretty girls like Misato-chan must come from beautiful mothers like that..wav|やっぱりみさとちゃんみたいに綺麗な子は、ああいうお母さんから生まれるんだろうな。
dataset/Lda102_She has a very fancy house in a rich neighborhood..wav|やっぱりみさとちゃんのお家ってお金持ちの家がいっぱい建ってるところにあった
dataset/Lda102_Mom seemed to be in a good mood—sort of..wav|お母さんもちょっとご機嫌かな
dataset/Lda102_We took Misato-chan back to home in Dad’s car..wav|お父さんの車でみさとちゃんの家まで送ったら
dataset/Lda102_She was really pretty, like an actress..wav|すごい美人 女優さんみたい
dataset/Lda101_Still, I don’t want a job that only has to do with machines..wav|でも、機械としか仕事をしない人にはなりたくない。 いっぱい人倒す仕事もつらいかもしれないけど。
dataset/Lda103_I guess we’re different from birth..wav|生まれた時から違うんだね
dataset/Lda104_I don’t think I could draw a Pegasus that looks like it is flying..wav|私が書いたらきっと飛びそうにないかな
dataset/Lda103_But if I was born there, wouldn’t I have been pretty like Misato-chan?.wav|でも私があんなところで生まれてたら、 みさとちゃんみたいに可愛い子になれたかな?
dataset/Lda104_I drew a picture and submitted it to the cultural fair, but I don’t think I have much talent..wav|文化祭に出展する絵は描いたけど、やっぱり私才能ないのかなぁ
dataset/Lda104_I think I’ll just draw what I feel like drawing..wav|やっぱり自分の描きたいものを描くかな
dataset/Lda104_It looked as though Pegasus was really flying..wav|まるでペガサスが本当に空を飛びそうな躍動感があって
dataset/Lda104_Misato-chan does great..wav|みさとちゃんは上手だった
dataset/Lda104_I’d rather draw pictures of Misato-chan more than anything else, but maybe she won’t like that..wav|本当は大好きなミサトちゃんを描きたいけど ミサトちゃん嫌がるかな?
dataset/Lda104_She drew a picture of Pegasus, with deep blue skies..wav|ペガサスの絵なんだけど、空に吸い込まれていきそうな深い青の光が印象的で
dataset/Lda104_She said that she was still mid-process with her work, but I thought it was great already anyway..wav|まだ途中って言ってたけど、そのままでも十分魅力的。
dataset/Lda105_Other than using the Net, there’s nothing I can do better than Misato-chan..wav|私なんてネットのことぐらいしか 美里ちゃんに勝てるものないよ
dataset/Lda105_She can do so many things..wav|みさとちゃんは何でもできるんだね
dataset/Lda105_I’m a little envious of Misato-chan..wav|ちょっとだけうらやましいよ、みさとちゃん
dataset/Lda106_I wonder if it looks much like her..wav|似てるかな?
dataset/Lda106_I showed it to Mom, who didn’t have much to say..wav|お母さんに見せたら似てるかなって首かしげていた
dataset/Lda106_I tried to remember Misato-chan’s face and drew it..wav|みさとちゃんの顔を思い出して一生懸命デッサンしたけど
dataset/Lda104_Compared to everyone else, I’m not very good..wav|みんなと比べると全然下手
dataset/Lda106_I connected two computers so that they could exchange files, and called it a day..wav|とりあえず2台を繋いでファイル交換できるようにして今日はおしまい
dataset/Lda106_It’s based in UNIX, so much of it was familiar, but it helped me understand assembly, which I had trouble with..wav|ユニックスベースなんで割と馴染みやすいけど アセンブラがよくわかってなくて困ってたから助かったかな
dataset/Lda107_Cop cars and ambulances were everywhere, and lots of people, too..wav|パトカーとか救急車とかがたくさん来ていて
dataset/Lda106_Today there was something about the new Navi that I didn’t understand, so I went and bought a book again..wav|あと今日新しいナビの使い方がわかんなくて本をまた買ってきた
dataset/Lda107_I am....wav|私はそんなの
dataset/Lda106_There aren’t many books about this kind of computer, so I didn’t have much to choose from, but I bought a book that has to do with command lists..wav|この種類のパソコンの本が少なくって、あんまり選びようがなかったけど、 とりあえず対応するコマンドリストが書いてある本を買った。
dataset/Lda107_I wouldn’t want something like that to happen to me all of a sudden..wav|突然そんなことになったら嫌だ
dataset/Lda107_I saw an accident on my way home today..wav|今日帰り道に事故を見た
dataset/Lda107_It’s sad that someone died..wav|人がいっぱいでよくわからなかったけど かわいそう
dataset/Lda107_Something fell at a construction site and someone died..wav|建築現場で上からものが落ちてきて 人が死んじゃったらしい
dataset/Lda108_I bet it will stand out and draw attention at the culture fair, since it's a size 50 oil painting..wav|50号の油彩だから目立つし、文化祭でもきっと目を引くだろうな。
dataset/Lda106_I think I’ll quit the cultural fair..wav|文化祭はあきらめよ
dataset/Lda108_It was very popular in the art club..wav|美術部でも評判になっていた。
dataset/Lda108_I feel that I haven’t expressed myself as much as I wanted in my painting..wav|絵でもどこか自分を出し切れてないって感じがする
dataset/Lda106_Dad said it was good, but I’m still not very confident..wav|お父さんは褒めてくれたけど、やっぱり自信がない。
dataset/Lda108_Misato-chan finished her artwork..wav|みさとちゃんの絵が完成した
dataset/Lda108_It’s very pretty and really is a work of art..wav|すごく綺麗で、もう芸術って感じ
dataset/Lda108_I used watercolors on top of pastels, all on a size 10 canvas..wav|私は10号のキャンバスにパステルで描いた上に水彩ペイントした。
dataset/Lda108_What kind of painting should I make?.wav|私はどんな絵を描けばいいの?
dataset/Lda108_Misato-chan’s paintings seem like Misato-chan’s..wav|ミサトちゃんの絵はミサトちゃんって感じがするもの
dataset/Lda108_They are gentle and pretty, and seem to have an inner strength....wav|優しくて綺麗なんだけど 内面に強さを秘めていて
dataset/Lda109_Could it be because she’s been busy?.wav|この頃忙しいから?
dataset/Lda109_Could it be that I’m a bother because I’m no longer sick and don’t need to see her?.wav|それとも私がもう治ってきたんで邪魔なのかな
dataset/Lda108_Misato-chan said that I did a good job, but I wonder if I should have done a painting of her..wav|ミサトちゃんは上手って褒めてくれたけど、やっぱりミサトちゃんの絵を描けばよかったかな。
dataset/Lda109_I wonder if she was feeling well..wav|機嫌悪かったのかな
dataset/Lda109_I told her about my artwork, and she said to bring that up with people in my class..wav|今日も絵のことで相談したら、絵のことなんて部活の人に聞いてたなんて
dataset/Lda109_I’m sorry that I couldn’t help with your research report, Touko-san..wav|研究レポートの役に立てなくてごめんなさい
dataset/Lda109_She seems different from before..wav|なんか今までと違う気がする
dataset/Lda109_Touko-san is a counselor..wav|トウコさんはカウンセラーだもんね
dataset/Lda109_She seems cold and distant..wav|なんかよそよそしいもの
dataset/Lda109_Touko-san was that kind of person..wav|トウコさんってあんな人だっけ?
dataset/Lda109_The sicker I get, the more work she has to do..wav|私がおかしくなればなるほど 東子さんの仕事は増えるんだもんね
dataset/Lda109_Just let me know if you don’t want to see me anymore..wav|そうだったら、もう来なくていいって言ってくれればいいのに。
dataset/Lda111_I shouldn’t complain..wav|かまってくれないからすねるなんて贅沢だよね
dataset/Lda111_It seems to be coming apart now, since I haven’t had problems lately..wav|私に問題なくなってきて、バラバラになってきたのかな?
dataset/Lda111_My family used to encircle me..wav|以前は私のことが原因でまとまっていた家族が
dataset/Lda111_They’ve been so good to me..wav|今まで散々迷惑かけてきたんだから
dataset/Lda110_I don’t want to see her anymore. I’m not troubled anymore. To me, Touko-san is....wav|もう行きたくないのに 私は何も困ってないんだから 私にはもう トウコさんは…
dataset/Lda111_Mom and Dad have been curt lately..wav|お父さんもお母さんもこの頃ちょっとそっけない
dataset/Lda113_Everything is okay, now..wav|もう何もかも大丈夫
dataset/Lda113_I have friends; I argue with my parents a little but make up later..wav|友達もいるし、親子でちょっと喧嘩したり仲直りしたり
dataset/Lda113_I’m in an ordinary family..wav|まるで普通の家族
dataset/Lda113_I’m an ordinary girl..wav|私は普通の子
dataset/Lda113_It’s been a while since I saw ‘that.’ I’ve become an ordinary kid again..wav|あれが見えなくなってずいぶん経つ 私はすっかり普通の子に戻れたんだ
dataset/Lda114_But is it because I’ve become ordinary that Mom and Dad don’t pay attention to me?.wav|でも、普通になったから、お父さんもお母さんも構ってくれないの?
dataset/Lda114_It’s good to be ordinary..wav|普通っていいよ
dataset/Lda114_Misato-chan is different..wav|ミサトちゃんは違うよね
dataset/Lda114_I don’t have the confidence to want to stand out..wav|自分をそんなに主張するほど私には自信はない
dataset/Lda114_I don’t understand the feelings of people who want to stand out..wav|目立ちたがり屋の人の気持ちなんて全然理解できない
dataset/Lda114_People won’t look at you funny if you’re ordinary..wav|だって誰からも変な目で見られない
dataset/Lda115_I quit going to the Net because I saw ‘that,’ and because of the mean messages people leave there..wav|ネットであれが見えたり、意地悪なメールのせいでやめていたんだ。
dataset/Lda111_I wonder if they are busy doing things that they couldn’t do while I wasn’t well..wav|それとも今まで私のせいでできなかったことをするので忙しいだけなのかな
dataset/Lda115_I’ll talk to Misato-chan tomorrow..wav|明日みそとちゃんに話してみよう
dataset/Lda115_Maybe I should exchange e-mail addresses with her..wav|アドレス交換しようかな
dataset/Lda115_If I had her e-mail address, I won’t have to bother calling her by phone..wav|それにメールで連絡取れたら、電話じゃなくても連絡取れるもんね。
dataset/Lda112_Doesn’t Dad love Mom? Someone tell me..wav|お父さんはお母さんを愛してないの? 誰か教えて
dataset/Lda115_If she knew how active and outgoing I am on the Net, she might be surprised..wav|私がネットだと誰とでも仲良くなれるくらい活動的にしてるの知ったら みさとちゃんびっくりするかな
dataset/Lda115_Misato-chan said that she goes to the Net, too..wav|ミサトちゃんもネットをやっているって言ったから
dataset/Lda115_Now that I think about it, I haven’t been checking my e-mails lately..wav|そういえばずいぶんメールを見てないな
dataset/Lda116_I feel like I can talk and keep on talking to anybody..wav|この調子ならどんな人とでもいっぱい話ができそう
dataset/Lda116_I wonder if I’m a very talkative person..wav|私って本当はおしゃべり?
dataset/Lda115_Mom’s been complaining because I run up a big phone bill..wav|この頃、レインの長電話で 電話代が大変だってお母さんが文句言ってたもの
dataset/Lda117_I thought she would be happy..wav|もっと喜んでくれると思ったのに
dataset/Lda117_It’s too bad..wav|なんだか残念
dataset/Lda116_I’m surprised at how long I can stay on the phone..wav|長電話している私、なんだか自分でも不思議なくらい話せている。
dataset/Lda117_I’m a bit sad..wav|ちょっと寂しかった
dataset/Lda117_I wonder if she got harassed on the Net, too..wav|みさとちゃんもメールで嫌な目にあったのかな
dataset/Lda117_Misato-chan turned me down..wav|ミサトちゃんに断られちゃった
dataset/Lda117_Misato-chan will talk to me on the phone, though..wav|でも、みさとちゃんは電話で話してくれるんだもの
dataset/Lda117_She doesn’t like checking e-mails..wav|メール見るのめんどくさいんだって
dataset/Lda117_She ought to be able to visit the Net on her own..wav|せめてネットぐらいはお互い一人でいたいんだよね
dataset/Lda117_The way she turned me down was unusual..wav|ちょっといつもと違う感じで断ってきたもの
dataset/Lda117_She seems not to have much interest in the Net..wav|ネット自体にあんまり興味がなさそうだった
dataset/Lda119_Eventually, the members were all people I didn’t know..wav|メンバーも知らない人だけになってたし
dataset/Lda119_I got an idea!.wav|そうだ
dataset/Lda119_I deleted e-mails if I didn’t know who they were from..wav|送り主のわからないメールは開かないで削除した。
dataset/Lda118_I’m being selfish to want to communicate with Misato-chan over the Net..wav|みさとちゃんとネットでも話したいなんて 霊のわがままだよね
dataset/Lda119_Didn’t my e-mails reach him?.wav|ちゃんと届かなかったのかな
dataset/Lda119_Maybe he hasn’t read them yet..wav|それともまだ読んでないのかな?
dataset/Lda119_I’ll join a news group that has art as a topic..wav|絵の好きな人たちのニュースグループに登録しよう
dataset/Lda117_We can talk to each other anytime, at home or at school..wav|学校でも家でも私たちはいつでも話ができるんだ
dataset/Lda120_Aren’t there any girls?.wav|女の子はいないの?
dataset/Lda119_There might be people there that are like me, and I can be a lot more outgoing on the Net..wav|もしかしたら私と同じぐらいの人がいるかもしれないし ネットなら気兼ねなく話せるし
dataset/Lda119_When I checked the ‘news group,’ I found that many of the packets had dropped..wav|久しぶりにニュースグループをチェックしたら、パケットが何度も落ちてしまった。
dataset/Lda120_The Net is full of men..wav|ネットは大人の男の人ばかり
dataset/Lda120_I don’t mind writing guys, but I’d rather write girls..wav|男の人でも構わないけど、やっぱり私は女の子同士で話がしたい。
dataset/Lda121_I wonder if she is okay..wav|嬉しくないのかな
dataset/Lda119_When I checked my computer today, there were about 30 e-mails..wav|今日メールをチェックしたら30通ぐらい溜まっていた
dataset/Lda121_Isn’t that something?.wav|すごいでしょ
dataset/Lda121_I’m so proud..wav|なんて誇らしいんだろう
dataset/Lda121_But Misato-chan didn't look very well..wav|でも、みさとちゃんはあんまり浮かない顔してたな
dataset/Lda121_Misato-chan is amazing!.wav|みさとちゃんすごい
dataset/Lda121_Misato-chan is my best friend..wav|ミサトちゃんは私の一番の友達なんだよ
dataset/Lda121_Our sensei’s prestigious friends came and were very impressed..wav|美術の風見先生の知り合いの偉い人が見に来て、感心してだって。
dataset/Lda122_Misato-chan..wav|மீ சாதுக்கா.
dataset/Lda119_No e-mails from Mr. Rabbit yet..wav|うさぎさんからのメールは来てなかった
dataset/Lda122_I’m somewhat frustrated..wav|ちょっぴりだけど悔しいよ
dataset/Lda122_Would I be embarrassed?.wav|気持ちいい?恥ずかしい?
dataset/Lda123_Even the older kids were really impressed..wav|なんだか鼻が高かった
dataset/Lda121_People talked of nothing but Misato-chan’s artwork at the cultural fair..wav|文化祭は美里ちゃんの絵の話で持ちきりだった
dataset/Lda122_Would I feel good if my artwork was praised like hers’?.wav|私の絵もあんな風に褒められたら
dataset/Lda123_Everyone in class went to the cultural fair and saw Misato-chan’s work..wav|みんな文化祭の絵を知ってるから先輩たちも納得してた
dataset/Lda123_She seems different lately..wav|ちょっとこの頃変かな
dataset/Lda122_I don’t know, but I’ll probably feel good..wav|わからないや。でも多分気持ちいいと思う。
dataset/Lda123_Kazami Sensei mentioned before class that she wants to have Misato-chan’s artwork presented at the prefectural exhibition..wav|風見先生がみさとちゃんの絵を地区の品評会に出したいって今日部活が始まる前に言ってた
dataset/Lda124_I wonder if that is obvious to Misato-chan..wav|ミサトちゃんにとってはあれくらい当たり前のことなのかな?
dataset/Lda114_She’s a friend of ordinary me..wav|普通の私と友達なんだよね
dataset/Lda124_Will I be disliked if I fuss?.wav|レインもあんまり騒がないようにしないと嫌われる?
dataset/Lda124_Maybe she doesn’t want people to fuss over her..wav|それとも騒がれるのが嫌いなの?
dataset/Lda125_I don’t want to visit this Net site again..wav|もうこのネットには行きたくない
dataset/Lda125_Besides, some artistic big shots saw Misato-chan’s work and didn't think it was plagiarism..wav|美術の偉い人が見ても気づかない 陶作なんてないもの
dataset/Lda125_I feel contradicted..wav|自分が否定されたようで悔しい
dataset/Lda125_I feel like I am the one being criticized..wav|まるで美里ちゃんのことが自分のように感じられる
dataset/Lda125_I wonder if people on art sites of the Net are hard to please..wav|美術のネットの人はなんだか気難しそうな人が多いのかな
dataset/Lda125_Misato-chan would never do something like that..wav|ミサトちゃんがそんなことするわけないし
dataset/Lda125_Misato-chan and I have been around each other so much that we can tell what’s going on with the other without talking too much..wav|そうだよね。二人でこれだけ一緒にいれば、大体のことをお互い言わなくてもわかるものね。
dataset/Lda127_I don’t know why..wav|なんで?
dataset/Lda126_Does Misato understand me?.wav|ミサトちゃんはレインのことわかる?
dataset/Lda127_I’ve never seen her like this..wav|こんなみざとちゃんを見たのは初めて
dataset/Lda127_Misato-chan has stopped talking and looks terrible..wav|ミサトちゃんも怖いくらいの表情で黙ったキリだし
dataset/Lda127_I’m sad for Misato-chan..wav|みさとちゃんがかわいそう
dataset/Lda127_Sensei didn’t explain why..wav|先生もそうなっただけしか言わないし
dataset/Lda127_They decided not to submit Misato-chan’s artwork to the prefectural exhibition..wav|みさとちゃんの絵が出展中止になっちゃった
dataset/Lda127_What happened?.wav|何があったんだろう
dataset/Lda128_But maybe that isn’t true..wav|でもそうじゃなかったら
dataset/Lda128_Could she be waiting for me to call?.wav|ひょっとしたらレイの電話を待っていてくれたり
dataset/Lda128_I hesitated to call..wav|電話もなんだかかけづらい
dataset/Lda129_Misato-chan skipped school today..wav|今日、みさとちゃんが学校を休んだ。
dataset/Lda128_I didn’t talk to her at all today..wav|今日は何も話せなかった
dataset/Lda129_Misato-chan would never do something like that..wav|絶対にミサトちゃんはそんなことをしない
dataset/Lda129_Never..wav|絶対に
dataset/Lda129_Some of the older kids in art class were spreading rumors..wav|部活で先輩が噂をしていた
dataset/Lda129_The kids stopped talking when they noticed that I was listening..wav|私が聞いているのに気づくと途端に話をやめちゃったけど
dataset/Lda129_This makes me feel bad..wav|なんだか感じ悪い
dataset/Lda130_I can’t call Misato-chan..wav|どうしてもみさとちゃんに電話ができない
dataset/Lda129_They were talking about Misato-chan’s artwork and plagiarism..wav|前にネットで聞いたのと同じ盗作の話
dataset/Lda130_I don’t have enough courage..wav|私には勇気が足りない
dataset/Lda130_I can’t imagine what Misato-chan would say..wav|佐藤ちゃんが何て言うのか想像できないよ
dataset/Lda130_I’m frustrated but can’t do anything..wav|困っている時に何もできない
dataset/Lda131_Could it be that she doesn’t like me anymore?.wav|それともレインのこと嫌いになったの?
dataset/Lda131_Misato-chan didn’t show up at school again today, so I took my notes to her home..wav|今日もみさとちゃんは休んじゃったからノートをお家まで持って行った
dataset/Lda131_Misato-chan’s mom came to the door, but Misato-chan didn’t..wav|ミサトちゃんのお母さんが出てきたんだけど、ミサトちゃんは出てこなかった。
dataset/Lda131_I want to see you, Misato-chan..wav|会いたいな、みざとちゃん
dataset/Lda125_I got friendly and sent pics of Misato-chan’s artwork, and they said that it was plagiarism..wav|ちょっと仲良くなったから、ミサトちゃんの絵を送ってあげたのに、盗作だなんて…
dataset/Lda131_Is she feeling so bad that she can’t even come to the door?.wav|そんなに具合が悪いのかな
dataset/Lda131_No matter what other kids say about Misato-chan, I’ll always be her friend..wav|みんなが何を言ってもレインだけはミサトちゃんの味方なのに
dataset/Lda131_That would make me very sad..wav|だったら悲しいよ
dataset/Lda132_I just want to see you..wav|会いたいだけなの
dataset/Lda132_I won’t ask you about things you don’t want to talk about..wav|ミサトちゃんが話したくないこと、レイは聞きたくない
dataset/Lda132_I won’t ask you any questions..wav|会っても何も聞かないよ
dataset/Lda133_But I thought that Misato-chan did her work before this other person submitted hers to this magazine..wav|でも、みさとちゃんがスケッチ始めたのってこれが発表される前じゃないかな?
dataset/Lda133_I could not tell the difference between the two..wav|私には区別がつかないぐらい
dataset/Lda133_I believe in Misato-chan, but I wanted to see what was actually going on..wav|ミサトちゃんのこと信じてるけどやっぱり本当のことを知りたかったから
dataset/Lda133_I searched the Net about it when I got home..wav|家に帰ってきてからネットで検索したら
dataset/Lda133_I didn’t want to see the magazine, but I wanted to make sure..wav|そんな雑誌見たくなかったけど、自分で確かめたかったんで見たら。
dataset/Lda133_I talked to Kasumi sensei today..wav|今日は職員室に行って風見先生に聞いた
dataset/Lda133_Misato-chan would never plagiarize..wav|絶対みさとちゃんが盗作なんてするわけないけど
dataset/Lda133_It was probably a coincidence. But she also said that there would be problems if it was openly declared..wav|多分偶然だって ただ発表すれば問題になるだろうって
dataset/Lda133_Sensei said that people often come up with the same ideas at the same time..wav|同じ時に同じような発想することってよくあるって先生が言っていた
dataset/Lda133_I’m going to look into it and clear her name..wav|みさとちゃんの名誉のためにも、私が絶対調べてあげる。
dataset/Lda133_It seems that the Japanese artist who painted it was just a novice, and that it was the first time she won a prize for her artwork..wav|その日本人はまだ駆け出しの画家みたいで、これが初叙書だって書いてあった。
dataset/Lda133_Still, the paintings looked so similar..wav|それにしても似ていた
dataset/Lda100_Misato-chan gave me a present..wav|みさとちゃんがプレゼントをくれた
dataset/Lda133_The picture in the magazine and Misato-chan’s painting looked alike..wav|やっぱりそっくりだった
dataset/Lda133_They were more than alike..wav|そっくりというよりも
dataset/Lda100_Misato-chan’s present was a CD of her playing a violin..wav|みさとちゃんがバイオリン弾いているCD
dataset/Lda133_When I got home, I dug around on the Web and found out that his father was a great artist..wav|お父さんが日本画の大科で二世の画家ってことがわかったくらい。
dataset/Lda133_The sensei said that there is an art magazine in America with a painting by a Japanese artist very similar to Misato-chan’s..wav|先生が言うには、アメリカの美術の雑誌に、日本人の作品でほとんど同じ絵が載っていたって。
dataset/Lda134_Couldn’t it be obvious that people see the same things and have the same ideas about them?.wav|同じものを見て同じ考えをするなんてひょっとしたら当たり前のことかもしれない
dataset/Lda134_We're all the same..wav|所詮、私たちは同じ人間だもの。
dataset/Lda135_I wonder if I’ll hear back from them..wav|返事来るかな?
dataset/Lda135_But I might see ‘that’ again when I go to the Net, and that frightens me..wav|でも、あんまりネットにいると、あれが見えそうで怖い。
dataset/Lda135_I’ll keep writing until I hear back from them..wav|来なかったら車で出すんだ
dataset/Lda134_If the perceived information is the same for two people and they think the same things about it, why would it be odd if those people produce the same impressions about what they see?.wav|情報が一緒で思考や感性が同じなら、結果も同じになるもの。 いかがでしょうか。
dataset/Lda135_I’m going to get to the bottom of this and I’m going to clear Misato-chan of this plagiarism charge..wav|絶対に調べるんだ そしてミサトちゃんの疑いを晴らすんだ
dataset/Lda136_But I have changed..wav|私は変わったんだ
dataset/Lda136_I won’t have hallucinations anymore..wav|もう幻覚も見ることはない
dataset/Lda135_The magazine is called "Beauty of the Art." It had a homepage, so I sent them an e-mail..wav|ビューティーオブジェアートって雑誌 ホームページがあったから編集部宛にメールを出した
dataset/Lda136_If I think that I’m not changing, I won’t change..wav|私自身が変わってないって思ったら変わらないよね
dataset/Lda136_Could it be that I’m not changing?.wav|もしかして私は変わってない?
dataset/Lda137_Could this sort of thing happen often?.wav|よかった。でもこんなことってよくあるのかな?
dataset/Lda137_I got an e-mail from the editors today..wav|今日編集部からメールが来ていた
dataset/Lda137_I wish I had information about her..wav|情報が欲しいな
dataset/Lda137_I couldn’t find a home page for her..wav|その人のホームページはなかったし、情報がない。
